idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
WSG84;48.90309875171406;2.3563560622067268,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,200.5,93,60,36,6,13,15,2375480.5,3007,92,1,88,0,0,2,3,0,8,9,14.5,12,11,63,47,17,16,3,0
WSG84;48.90328513637268;2.35907132247756,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,1,0,93066,52,19.8,9.9,9.1,4.1,6.6,1.7,796403,751.1,19.8,0,16.5,0,0,3.3,0,0,1.6,3.3,4.9,5.8,3.3,11.6,14.9,3.3,3.3,0,0
WSG84;48.904886614246486;2.356079040384507,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,176.5,71,46,32,7,15,10,2021016.3,2328,69,2,71,0,0,0,0,2,18,7.5,18.5,19.5,7,45,35,13,12,1,0
WSG84;48.90507300665767;2.358794397248354,CRS3035RES1000mN2894000E3761000,CRS3035RES1000mN2894000E3761000,0,0,93066,550.5,190,49,58,35,61,24,9877873.2,10973,189,1,79,0,0,111,0,44,29,16.5,57,66.5,37.5,130,137,50,26,1,0
WSG84;48.905259333104866;2.36150977274087,CRS3035RES1000mN2894000E3762000,CRS3035RES1000mN2894000E3762000,0,0,93066,579,275,73,131,16,93,27,13393347.3,13993,274,1,0,0,0,258,17,81,39.5,25.5,37.5,27.5,62,240,99,22,21,5,0
WSG84;48.905445593587324;2.36422516685574,CRS3035RES1000mN2894000E3762000,CRS3035RES1000mN2894000E3762000,0,0,9306693001,594,208,26,60,31,56,18,14096954.9,13980,208,0,0,0,0,208,0,24,54,25.5,48.5,58,41,199,130,24,13,1,0
WSG84;48.9066744745448;2.3558019933091305,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,337,147,43,58,12,68,18,7459929.4,7380,127,20,84,0,0,62,1,18,17,8.5,28.5,22,16,100,84,32,14,15,0
WSG84;48.90686087470928;2.3585174467745875,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,1323.5,464,126,136,81,125,66,25726359.2,28301,457,7,70,1,1,392,0,186,88.5,50.5,115.5,168,80,358,267,102,87,7,0
WSG84;48.907047208907095;2.3612329188713024,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,642.5,258,48,78,15,127,19,15311474.9,15484,251,7,33,0,0,225,0,0,54,23,42,43.5,18,247,133,54,24,4,0
WSG84;48.90723347713752;2.3639484095929513,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,9306693001,788.5,309,60,90,40,103,47,18024151.2,19868,309,0,0,0,0,309,0,0,78,26,75.5,68,32,272,171,41,22,3,0
WSG84;48.90846233260929;2.3555249209773192,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,74,36,15,14,0,10,4,1271301.8,1179,36,0,22,0,0,14,0,14,2,1,2,4,3,16,16,10,17,3,0
WSG84;48.908648740527816;2.3582404710529796,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,447.5,144,42,38,31,3,24,7183841.4,8354,144,0,50,0,0,91,3,128,28.5,11.5,34.5,63,45,84,87,55,28,4,7
WSG84;48.90883508247699;2.3609560397624896,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,452.5,132,38,26,35,23,29,7782219.5,9008,132,0,0,0,0,132,0,91,27.5,19,50,72,36,97,100,27,21,2,1
WSG84;48.91025018844034;2.3552478233857936,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,737,324,92,123,27,47,40,14811130,16463,322,2,142,0,11,170,1,0,64,25.5,54.5,37,39,264,163,46,36,6,2
WSG84;48.910436604113606;2.3579634700802616,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,1476,498,126,133,92,147,85,27714945.1,29510,498,0,65,0,0,433,0,249,98,65,137.5,188.5,106,319,367,112,73,10,0
WSG84;48.910622953814844;2.360679135411161,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,155,62,12,20,6,27,9,3727554.2,4129,49,13,0,0,0,62,0,0,18,4,14.5,12.5,13,49,32,8,4,0,0
WSG84;48.91080923754337;2.363394819372165,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,1,0,9306693001,1,0.6,0.3,0.3,0,0.2,0,15515.2,19,0.5,0.1,0.6,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.3,0.2,0.1,0,0
WSG84;48.91203804203819;2.3549707005312763,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,271.5,129,74,74,11,19,15,4178101.8,4248,119,10,15,94,0,20,0,93,15,8,28.5,24,19,52,69,33,14,1,8
WSG84;48.91222446546694;2.3576864438531473,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,733,218,39,42,51,103,23,15415325,15356,216,2,10,0,0,208,0,52,43,25.5,91.5,82.5,43.5,184,189,45,20,2,7
WSG84;48.912410822921;2.360402205814039,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,537,182,37,44,28,91,23,12281371.7,11727,181,1,0,0,0,182,0,41,45,24,50.5,51,35.5,173,117,32,6,2,1
WSG84;48.91259711439964;2.36311798640762,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,377,188,58,103,16,0,19,6237206.2,7354,188,0,0,0,0,188,0,188,39,13,23,22,48,163,38,18,10,3,0
WSG84;48.912783339902134;2.365833785627563,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,9300193066,1389,347,135,65,113,102,49,19925720.2,20218,347,0,0,0,0,346,1,194,81,46.5,122,188.5,87,241,283,99,62,10,169
WSG84;48.913452833104124;2.349261928444867,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,1,0,93066,29,9.1,4.1,0.8,0.8,0,1.7,440450.5,389.4,8.3,0.8,9.1,0,0,0,0,0,0.8,1.7,4.1,2.5,3.3,7.5,6.6,0.8,1.7,0,0
WSG84;48.913639396241614;2.351977731100545,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,807,259,45,62,57,113,21,17600388.7,17117,244,15,0,0,0,259,0,65,68.5,36,91,74.5,49,237,184,47,16,1,3
WSG84;48.9138258934032;2.3546935524104855,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,1053.5,369,106,100,63,91,55,19522776.5,22042,366,3,136,0,0,216,17,154,80.5,28.5,81,111.5,65,298,215,92,56,17,9
WSG84;48.91401232458815;2.357409392368364,CRS3035RES1000mN2895000E3761000,CRS3035RES1000mN2895000E3761000,0,0,93066,480.5,206,73,76,20,47,25,8428544.2,9606,205,1,115,0,1,90,0,27,33,19,28.5,33,30,177,93,31,28,8,0
WSG84;48.914384989025244;2.362841128202605,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,93066,499,176,35,57,30,83,19,10698894,11162,160,16,34,0,0,141,1,51,64,23,34,45,27,183,83,18,20,2,0
WSG84;48.914571222275924;2.3655570240663115,CRS3035RES1000mN2895000E3762000,CRS3035RES1000mN2895000E3762000,0,0,9300193066,209.5,85,36,36,12,23,9,3255255.5,3812,76,9,43,2,0,39,1,11,16.5,14,15,9,14,81,27,16,14,3,0
WSG84;48.91486732698235;2.343552819178739,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,35,13,2,3,1,8,0,636100.2,860,0,13,11,0,1,1,0,0,2,0,1,0,1,11,7,4,5,4,0
WSG84;48.91505402983709;2.346268681141153,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,1,0,93066,2,0.8,0.2,0.2,0.1,0.4,0,40434.5,36.2,0.5,0.3,0.7,0,0,0.1,0,0,0,0,0,0.1,0.3,0.3,0.5,0.5,0.3,0,0
WSG84;48.91542723761447;2.351700461068182,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,0,0,93066,896.5,350,72,106,37,102,44,20687002.4,22307,350,0,0,0,0,350,0,71,83.5,35,77.5,84.5,44,307,179,60,24,2,0
WSG84;48.91561374253566;2.354416379020141,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,0,0,93066,633,252,81,91,33,68,35,11839427.1,12291,244,8,140,5,1,106,0,21,46.5,16.5,48.5,57.5,36,186,134,52,39,16,1
WSG84;48.91580018147755;2.357132315622622,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,0,0,93066,786,305,113,105,40,46,51,13310164.1,15201,280,25,184,0,0,120,1,141,63,25,60.5,77.5,47,215,174,64,42,18,0
WSG84;48.91617286142049;2.362564244753841,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,93066,1027.5,343,84,85,61,111,54,20979167.5,21475,314,29,38,0,0,303,2,125,76,30,76,141.5,67,266,225,80,44,13,9
WSG84;48.91635910242009;2.3652802372699178,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,9300193066,468.5,135,52,35,35,8,28,6950301.4,9009,125,10,31,1,52,49,2,94,27,22,57,64,22.5,97,93,42,27,1,16
WSG84;48.91646836622308;2.340559294001797,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,108,49,13,19,3,20,5,2135451.5,2304,36,13,24,24,1,0,0,0,7,2,5.5,6.5,10,30,17,11,11,8,0
WSG84;48.91665514282522;2.343275233928627,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,1,0,93066,31,12.2,6.7,6.1,2.4,3,0,545913.2,514.2,11,1.2,11.6,0,0,0.6,0,0,0,1.2,2.4,3,7.3,6.1,4.3,3,3.7,0,0
WSG84;48.91814698033492;2.3650034252351007,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,1,0,9306693001,3,1,0.3,0.2,0.2,0,0.1,52470.1,58.5,0.9,0.1,0.1,0,0,0.9,0,0.9,0.3,0,0.3,0.4,0.2,0.7,0.5,0.2,0.3,0.1,0
WSG84;48.91825617205936;2.3402815867923015,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,1166,439,127,144,63,101,66,21811482.4,23465,426,13,13,0,163,263,0,166,65.5,45,107,110.5,95,278,264,113,63,8,17
WSG84;48.918442956433246;2.3429976233679852,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,566,196,56,57,32,39,34,10309622.1,10741,193,3,68,0,0,127,1,36,41,23,55.5,47,40.5,168,117,45,25,4,0
WSG84;48.919748599521164;2.3620104021119612,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,1,0,93066,6,2,0.5,0.5,0.4,0.1,0.2,104940.2,116.9,1.8,0.2,0.2,0,0,1.8,0,1.7,0.5,0.1,0.7,0.7,0.4,1.5,1.1,0.3,0.6,0.1,0
WSG84;48.920043975660384;2.3400038542603934,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,140.5,61,7,22,6,29,10,3748756.9,3829,61,0,0,0,0,61,0,0,10,4,9.5,9,9,48,30,11,7,3,0
WSG84;48.92023076780678;2.3427199874935334,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,92,57,22,41,3,15,4,1787908.4,2160,53,4,20,0,0,37,0,0,2,3,2,2,21,35,12,8,5,2,0
WSG84;48.920417493968756;2.345436139410291,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,1,0,93066,44,17.1,5.4,5.4,2.7,8.1,0,889558.9,795.6,10.8,6.3,16.2,0,0,0.9,0,0,0,0,0.9,2.7,7.2,6.3,10.7,9.9,6.3,0,0
WSG84;48.92190892773833;2.3671660265948664,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,9300193066,456,157,60,39,26,29,30,7417900.5,9571,139,18,42,1,70,38,6,70,34,11,38,44,30,118,84,41,43,9,4
WSG84;48.92183177702651;2.3397260964027797,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,746.5,288,44,83,33,88,46,17237574.4,18928,288,0,0,0,0,288,0,74,64.5,33.5,51,69,49.5,271,149,39,17,3,0
WSG84;48.92201857694611;2.3424423263019802,CRS3035RES1000mN2896000E3760000,CRS3035RES1000mN2896000E3760000,0,0,93066,118.5,49,5,17,5,33,2,3465373.5,3439,31,18,16,1,1,31,0,0,7.5,5,8,6,6,35,27,10,10,4,0
WSG84;48.922205310878624;2.3451585748873947,CRS3035RES1000mN2896000E3761000,CRS3035RES1000mN2896000E3761000,1,0,93066,3,1.2,0.4,0.4,0.2,0.6,0,60651.7,54.2,0.8,0.4,1.1,0,0,0.1,0,0,0,0,0.1,0.2,0.5,0.4,0.7,0.7,0.4,0,0
WSG84;48.92332432870415;2.3614564584557445,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,93066,634,222,54,78,44,57,36,11339777.3,13256,222,0,0,0,0,222,0,124,36,24.5,64,88.5,50,141,141,48,36,3,2
WSG84;48.92351060070665;2.364172837667344,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,93066,405,169,38,60,17,83,24,8991157.3,9702,169,0,0,0,0,169,0,0,37.5,23,21.5,33,23,138,82,26,17,3,1
WSG84;48.92369680671624;2.366889235514491,CRS3035RES1000mN2896000E3762000,CRS3035RES1000mN2896000E3762000,0,0,9306693001,2405,783,317,233,160,78,143,35513008.7,51748,777,6,24,0,758,0,1,640,182.5,106,201,287.5,170,465,465,221,210,65,32
WSG84;48.92406902075374;2.3723220870901116,CRS3035RES1000mN2896000E3763000,CRS3035RES1000mN2896000E3763000,0,0,93066,1590.5,483,153,124,114,4,91,24838713.3,33172,480,3,10,1,468,4,0,470,99,62,150.5,210,112,278,333,161,128,28,29
WSG84;48.92361957615802;2.3394483132161716,CRS3035RES1000mN2897000E3760000,CRS3035RES1000mN2897000E3760000,0,0,93066,168.5,56,13,15,11,4,13,3232882,3659,56,0,0,0,0,56,0,34,15,8,25.5,21,13,41,34,7,2,2,0
WSG84;48.92380638385154;2.3421646397900364,CRS3035RES1000mN2897000E3760000,CRS3035RES1000mN2897000E3760000,1,0,93066,19,6.4,1.9,1.5,1.4,2.8,0.4,397981.7,507.1,2.9,3.5,2.4,0.8,1.9,1,0.3,1,1.5,0.5,1.3,2.7,0.9,3.9,5.1,0.6,1.7,0.8,0
WSG84;48.92399312555533;2.3448809850527086,CRS3035RES1000mN2897000E3761000,CRS3035RES1000mN2897000E3761000,0,0,93066,431.5,147,60,52,33,40,12,7031045.2,8149,108,39,86,1,1,55,4,44,26,19,46.5,35,19,103,94,35,43,11,0
WSG84;48.9247394324583;2.3557465528648183,CRS3035RES1000mN2897000E3761000,CRS3035RES1000mN2897000E3761000,0,0,93066,277.5,143,44,69,6,0,28,4641800.1,5878,143,0,142,0,0,0,1,142,8,4,17,18.5,11,37,75,39,51,10,7
WSG84;48.925298469707336;2.363895924646056,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,241,98,20,38,9,48,9,5206658.4,5285,86,12,39,0,1,58,0,6,26,7,12,17,16,73,47,19,20,4,0
WSG84;48.925484683466806;2.366612419191195,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,652,188,75,47,50,5,40,9137798.5,12254,186,2,16,0,171,1,0,171,48,21,61,96,50,131,111,54,52,9,19
WSG84;48.92567083122994;2.3693289323681364,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,1481.5,411,167,96,110,0,67,21356931,30509,411,0,0,0,410,1,0,411,103,51,161,202.5,104,255,291,150,112,22,30
WSG84;48.925856912996025;2.372045464170546,CRS3035RES1000mN2897000E3763000,CRS3035RES1000mN2897000E3763000,0,0,93066,93,26,7,6,7,0,7,1609081.8,1867,26,0,0,0,26,0,0,26,11,2,8,12,6,16,17,14,3,4,0
WSG84;48.92604292876432;2.37476201459209,CRS3035RES1000mN2897000E3763000,CRS3035RES1000mN2897000E3763000,0,0,9302793066,717.5,189,72,38,62,1,31,10675134.3,12994,188,1,1,86,0,102,0,184,55,35,66,103,39.5,131,123,61,61,17,26
WSG84;48.92540737305521;2.33917050469728,CRS3035RES1000mN2897000E3760000,CRS3035RES1000mN2897000E3760000,0,0,93066,235,95,19,31,8,12,15,5254017.9,5903,59,36,34,0,0,61,0,0,28,12.5,29.5,8,13,76,52,8,6,2,0
WSG84;48.925594188523405;2.3418869279544143,CRS3035RES1000mN2897000E3760000,CRS3035RES1000mN2897000E3760000,0,0,93066,376,148,67,60,22,23,29,5273296.3,5936,138,10,137,9,0,1,1,65,19,14,30,41,22,91,87,42,22,8,0
WSG84;48.92578093799919;2.3446033699029547,CRS3035RES1000mN2897000E3761000,CRS3035RES1000mN2897000E3761000,0,0,93066,67.5,29,15,9,3,12,3,987321.8,1281,20,9,28,0,0,1,0,0,2.5,0,1.5,5.5,4,18,16,13,4,3,0
WSG84;48.92634079046464;2.3527528078336486,CRS3035RES1000mN2897000E3761000,CRS3035RES1000mN2897000E3761000,1,0,93066,22,9.9,4.4,2.8,0.6,2.2,1.7,351752.9,435,9.4,0.5,8.8,0,0.5,0.6,0,0,0.5,0.5,2.2,0.5,1.1,6.1,5.5,3.9,1.1,0.6,0
WSG84;48.9265272759634;2.35546932448446,CRS3035RES1000mN2897000E3761000,CRS3035RES1000mN2897000E3761000,1,0,93066,2,0.9,0.4,0.2,0,0.2,0.2,31977.5,39.6,0.8,0.1,0.8,0,0,0.1,0,0,0,0,0.2,0,0.1,0.6,0.5,0.4,0.1,0.1,0
WSG84;48.92671369546609;2.3581858597950056,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,71,26,11,7,3,5,5,1020726.2,1227,23,3,25,0,0,1,0,2,4,5,11,3,3,16,20,3,4,2,0
WSG84;48.92690004897195;2.360902413758951,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,856,342,126,124,40,81,52,14134744.9,14988,326,16,205,0,77,51,9,57,61.5,29,64,67.5,57,234,196,63,72,12,0
WSG84;48.92708633648028;2.3636189863699535,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,436.5,171,61,61,23,77,15,7777960.8,8249,102,69,145,14,5,6,1,0,17,14,29.5,38.5,16,116.5,77,55,59,14,0
WSG84;48.92727255799033;2.36633557762169,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,0,0,93066,532,173,34,40,33,86,28,11325410.7,11774,130,43,42,3,0,128,0,28,51.5,27,59.5,54,23,153,103,34,21,6,0
WSG84;48.92745871350139;2.369052187507816,CRS3035RES1000mN2897000E3762000,CRS3035RES1000mN2897000E3762000,1,0,93066,13,4.4,1,1.7,1.4,1,0.7,291754.1,368.1,3.4,1,1,0,2.7,0.7,0,0,1.4,0,0.3,2,2.1,1.7,3.1,1.4,0.7,0.3,0
WSG84;48.92783082652359;2.374485463157895,CRS3035RES1000mN2897000E3763000,CRS3035RES1000mN2897000E3763000,0,0,9306693027,503,136,41,28,42,0,20,7926607.8,10454,136,0,0,32,0,104,0,102,31.5,25.5,63.5,74.5,38,92,93,42,34,6,3
